1,2,3,4,5,6,7,8,9,10,11,12
2.0817,2.5673,3.2641,0,T-H,0.0,0.0,1.3622,1.281,1.6805,5505.0,32.0
2.0774,2.773,3.2641,0,T-H,0.0,0.0,1.3346,1.3987,1.6805,5504.0,32.0
1.9902,2.7725,3.2641,0,T-H,0.0,0.0,1.3223,1.4792,1.6805,5504.0,32.0
1.9187,2.5937,3.117,0,T-H,0.0,0.0,1.3293,1.4753,1.61,5504.0,32.0
1.7316,2.7456,3.0062,0,T-H,0.0,0.0,1.2334,1.493,1.6151,5504.0,32.0
1.6539,2.8905,2.6802,0,T-H,0.0,0.0,1.1985,1.5152,1.5345,5504.0,32.0
1.6424,2.7073,2.8057,0,T-H,0.0,0.0,1.1811,1.4496,1.4675,5501.0,32.0
1.7687,2.591,2.958,0,T-H,0.0,0.0,1.1381,1.4492,1.518,5501.0,32.0
1.7687,2.564,2.6803,0,T-H,0.0,0.0,1.1163,1.399,1.4661,5501.0,32.0
1.8374,2.4853,2.6442,0,T-H,0.0,0.0,1.1645,1.368,1.4739,5501.0,32.0
2.0146,2.3498,2.6728,0,T-H,0.0,0.0,1.2485,1.2698,1.4971,5505.0,32.0
2.0146,2.1879,2.6728,0,T-H,0.0,0.0,1.2485,1.2352,1.4971,5505.0,32.0
1.9289,2.0047,2.5794,0,T-H,0.0,0.0,1.2478,1.2016,1.4105,5505.0,32.0
1.8473,2.2418,2.352,0,T-H,0.0,0.0,1.1601,1.2803,1.3904,5505.0,32.0
1.8115,2.0469,2.361,0,T-H,0.0,0.0,1.1674,1.2473,1.4587,5501.0,32.0
1.9418,2.2947,2.2749,0,T-H,0.0,0.0,1.1695,1.2146,1.511,5501.0,32.0
2.2719,2.2055,2.2231,0,T-H,0.0,0.0,1.2696,1.1482,1.4332,5501.0,32.0
2.3007,2.3528,2.1415,0,T-H,0.0,0.0,1.3048,1.247,1.4623,5502.0,32.0
2.2383,2.1116,1.8978,0,T-H,0.0,0.0,1.2619,1.1431,1.3007,5502.0,32.0
2.1913,2.1116,1.8978,0,T-H,0.0,0.0,1.2619,1.1431,1.3007,5502.0,32.0
